po_id,supplier,order_date,delivery_date,item_category,order_status,quantity,unit_price,negotiated_price,defective_units,compliance,lead_time_days,total_cost,negotiated_total_cost,cost_savings,defect_rate,status_score,status_risk,compliance_score,compliance_risk,risk_score,risk_level
po-00001,alpha_inc,2023-10-17,2023-10-25,office supplies,cancelled,1176,20.13,17.81,0.0,yes,8,23672.879999999997,20944.559999999998,2728.3199999999997,0.0,0.0,100.0,1,0,27.0,High
po-00002,delta_logistics,2022-04-25,2022-05-05,office supplies,delivered,1509,39.32,37.34,235.0,yes,10,59333.88,56346.060000000005,2987.8199999999924,15.573227302849569,1.0,0.0,1,0,7.17196819085487,Low
po-00003,gamma_co,2022-01-26,2022-02-15,mro,delivered,910,95.51,92.26,41.0,yes,20,86914.1,83956.6,2957.5,4.5054945054945055,1.0,0.0,1,0,6.351648351648351,Low
po-00004,beta_supplies,2022-10-09,2022-10-28,packaging,delivered,1344,99.85,95.52,112.0,yes,19,134198.4,128378.87999999999,5819.520000000004,8.333333333333332,1.0,0.0,1,0,7.25,Low
po-00005,delta_logistics,2022-09-08,2022-09-20,raw materials,delivered,1180,64.07,60.53,171.0,no,12,75602.59999999999,71425.4,4177.199999999997,14.491525423728813,1.0,0.0,0,100,27.347457627118644,High
po-00006,epsilon_group,2022-08-17,2022-08-29,mro,delivered,1145,69.21,63.57,39.0,yes,12,79245.45,72787.65,6457.800000000003,3.406113537117904,1.0,0.0,1,0,4.021834061135371,Low
po-00007,gamma_co,2022-05-23,2022-06-03,mro,delivered,1774,51.37,47.82,96.0,no,11,91130.37999999999,84832.68000000001,6297.6999999999825,5.411499436302142,1.0,0.0,0,100,24.373449830890642,Medium
po-00008,alpha_inc,2022-04-15,2022-04-29,mro,delivered,1094,36.93,32.78,22.0,yes,14,40401.42,35861.32,4540.0999999999985,2.010968921389397,1.0,0.0,1,0,4.103290676416819,Low
po-00009,gamma_co,2023-11-24,2023-11-28,raw materials,partially delivered,1688,43.93,39.89,89.0,yes,4,74153.84,67334.32,6819.5199999999895,5.2725118483412325,0.5,50.0,1,0,15.08175355450237,Medium
po-00010,gamma_co,2023-07-13,2023-07-25,raw materials,pending,171,76.87,70.2,8.0,yes,12,13144.77,12004.2,1140.5699999999997,4.678362573099415,0.3,70.0,1,0,21.903508771929825,Medium
po-00011,epsilon_group,2022-03-31,2022-04-15,raw materials,delivered,5000,78.49,73.68,18.0,yes,15,392450.0,368400.00000000006,24049.99999999994,0.36,1.0,0.0,1,0,3.858,Low
po-00012,beta_supplies,2023-08-28,2023-09-11,raw materials,delivered,5000,88.96,86.58,115.0,yes,14,444799.99999999994,432900.0,11899.999999999942,2.3,1.0,0.0,1,0,4.1899999999999995,Low
po-00013,beta_supplies,2023-03-09,2023-03-26,electronics,pending,5000,86.74,74.86,51.0,yes,17,433700.0,374300.0,59400.0,1.02,0.3,70.0,1,0,22.056,Medium
po-00014,beta_supplies,2022-02-02,2022-02-13,mro,delivered,5000,18.3,16.88,0.0,yes,11,91500.0,84400.0,7100.0,0.0,1.0,0.0,1,0,2.75,Low
po-00015,delta_logistics,2022-01-31,2022-02-18,electronics,pending,5000,54.5,48.45,22.0,yes,18,272500.0,242250.0,30250.0,0.44,0.3,70.0,1,0,22.131999999999998,Medium
po-00016,beta_supplies,2022-04-06,2022-04-21,packaging,delivered,5000,15.41,15.12,0.0,yes,15,77050.0,75600.0,1450.0,0.0,1.0,0.0,1,0,3.75,Low
po-00017,delta_logistics,2022-08-12,2022-08-31,mro,delivered,1173,61.54,55.49,172.0,no,19,72186.42,65089.770000000004,7096.649999999994,14.663256606990622,1.0,0.0,0,100,29.148976982097185,High
